Day_of_week,Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Type_of_vehicle,Owner_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Casualty_severity,Cause_of_accident,Accident_severity,Time_Period
Saturday,Over 51,Male,Junior high school,Employee,Above 10yr,Other,Owner,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,3,No priority to vehicle,Slight Injury,Afternoon
Sunday,Unknown,Male,Junior high school,Employee,Above 10yr,Automobile,Owner,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,3,Going straight,3,Changing lane to the left,Serious Injury,Night
Sunday,Unknown,Male,Junior high school,Employee,2-5yr,Public (13?45 seats),Owner,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,3,Going straight,3,Moving Backward,Serious Injury,Night
Saturday,18-30,Male,Junior high school,Employee,1-2yr,Public (12 seats),Owner,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,3,No distancing,Slight Injury,Night
Thursday,31-50,Male,Junior high school,Employee,5-10yr,Public (12 seats),Owner,Other,other,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,3,No distancing,Slight Injury,Night
Thursday,Unknown,Male,Junior high school,Employee,Below 1yr,Lorry (41?100Q),Owner,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,3,No distancing,Slight Injury,Night
Monday,18-30,Male,Junior high school,Employee,2-5yr,Pick up upto 10Q,Owner, Hospital areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Other,3,No priority to vehicle,Slight Injury,Afternoon
Monday,31-50,Male,Elementary school,Employee,5-10yr,Lorry (41?100Q),Owner,Residential areas,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Moving Backward,3,Overtaking,Slight Injury,Morning
Monday,18-30,Male,Junior high school,Employee,1-2yr,Stationwagen,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,3,Changing lane to the left,Slight Injury,Morning
Monday,31-50,Male,High school,Employee,Below 1yr,Motorcycle,Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,3,No priority to pedestrian,Slight Injury,Morning
Tuesday,31-50,Male,High school,Owner,1-2yr,Other,Owner,Office areas,Double carriageway (median),Tangent road with flat terrain,Unknown,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,3,No distancing,Slight Injury,Morning
Tuesday,31-50,Male,Junior high school,Employee,5-10yr,Automobile,Owner,Office areas,Double carriageway (median),Gentle horizontal curve,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,3,Changing lane to the left,Slight Injury,Afternoon
Tuesday,18-30,Male,High school,Owner,2-5yr,Automobile,Owner,Office areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,2,1,Going straight,3,Other,Slight Injury,Morning
Thursday,31-50,Male,Elementary school,Employee,1-2yr,Other,Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,1,Other,3,No distancing,Slight Injury,Night
Thursday,31-50,Male,High school,Employee,1-2yr,Automobile,Governmental,Office areas,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Reversing,3,Changing lane to the left,Slight Injury,Afternoon
Thursday,18-30,Male,Above high school,Employee,5-10yr,Other,Owner,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Other,3,Changing lane to the left,Slight Injury,Afternoon
Thursday,31-50,Male,Junior high school,Employee,5-10yr,Pick up upto 10Q,Owner,Residential areas,Two-way (divided with broken lines road marking),Gentle horizontal curve,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Reversing,3,Changing lane to the left,Slight Injury,Evening
Wednesday,18-30,Male,Elementary school,Employee,5-10yr,Automobile,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,3,Driving carelessly,Slight Injury,Morning
Tuesday,18-30,Male,Junior high school,Employee,5-10yr,Automobile,Owner,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,1,1,Going straight,3,Getting off the vehicle improperly,Slight Injury,Morning
Thursday,18-30,Male,Junior high school,Owner,1-2yr,Lorry (41?100Q),Owner,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Turnover,3,No distancing,Slight Injury,Morning
Thursday,Unknown,Male,Junior high school,Employee,2-5yr,Automobile,Owner,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,3,Changing lane to the left,Slight Injury,Morning
Wednesday,Unknown,Male,Junior high school,Owner,5-10yr,Lorry (41?100Q),Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,3,No priority to vehicle,Slight Injury,Evening
Monday,31-50,Male,High school,Owner,2-5yr,Public (13?45 seats),Owner,Other,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,3,No priority to pedestrian,Slight Injury,Morning
Friday,Under 18,Male,Elementary school,Employee,5-10yr,Other,Owner,Other,other,Tangent road with flat terrain,Unknown,Asphalt roads,Dry,Daylight,Other,Vehicle with vehicle collision,1,1,Going straight,3,Changing lane to the right,Serious Injury,Afternoon
Friday,18-30,Male,Junior high school,Employee,1-2yr,Other,Owner,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Turnover,3,Changing lane to the left,Slight Injury,Afternoon
Friday,31-50,Male,Junior high school,Employee,5-10yr,Other,Owner,Office areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,3,Driving carelessly,Slight Injury,Evening
Saturday,Unknown,Male,Elementary school,Employee,Below 1yr,Public (12 seats),Owner,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,3,Driving to the left,Slight Injury,Morning
Saturday,31-50,Male,Elementary school,Owner,1-2yr,Public (12 seats),Governmental,Other,Double carriageway (median),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,1,1,Going straight,3,Changing lane to the left,Slight Injury,Afternoon
Saturday,Over 51,Male,Junior high school,Owner,5-10yr,Lorry (41?100Q),Owner,Office areas,Two-way (divided with solid lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Rollover,3,1,Moving Backward,3,Changing lane to the right,Slight Injury,Evening
Sunday,18-30,Male,High school,Employee,2-5yr,Automobile,Owner,Other,other,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,3,Getting off the vehicle improperly,Slight Injury,Night
Sunday,Unknown,Male,Junior high school,Employee,Above 10yr,Public (> 45 seats),Owner,Residential areas,other,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,3,Driving under the influence of drugs,Slight Injury,Night
Sunday,18-30,Male,Junior high school,Employee,2-5yr,Lorry (41?100Q),Owner,Other,other,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with pedestrians,2,2,Moving Backward,3,Changing lane to the right,Slight Injury,Night
Sunday,18-30,Male,Junior high school,Employee,1-2yr,Other,Owner,Other,other,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with pedestrians,2,2,Going straight,3,Driving carelessly,Slight Injury,Night
Sunday,31-50,Male,Junior high school,Employee,2-5yr,Other,Owner,Other,One way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Other,3,Moving Backward,Slight Injury,Night
Thursday,18-30,Male,Junior high school,Employee,1-2yr,Lorry (41?100Q),Owner,Other,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,3,Changing lane to the right,Slight Injury,Afternoon
Thursday,Unknown,Male,Elementary school,Employee,1-2yr,Pick up upto 10Q,Owner,School areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,3,Driving carelessly,Slight Injury,Afternoon
Monday,Under 18,Male,Junior high school,Employee,Above 10yr,Automobile,Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,3,Moving Backward,Slight Injury,Afternoon
Tuesday,31-50,Male,Junior high school,Employee,Above 10yr,Automobile,Owner,School areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads with some distress,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,3,Overturning,Slight Injury,Night
Tuesday,18-30,Male,Elementary school,Employee,Above 10yr,Other,Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,3,Driving carelessly,Slight Injury,Night
Tuesday,Unknown,Male,Junior high school,Employee,1-2yr,Automobile,Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,2,No distancing,Slight Injury,Night
Tuesday,31-50,Male,Junior high school,Employee,5-10yr,Ridden horse,Governmental,School areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,3,Changing lane to the left,Serious Injury,Morning
Tuesday,31-50,Unknown,High school,Owner,5-10yr,Automobile,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Gravel roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,2,No priority to pedestrian,Serious Injury,Morning
Tuesday,Under 18,Male,Junior high school,Employee,5-10yr,Lorry (41?100Q),Owner,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Going straight,3,No distancing,Slight Injury,Morning
Tuesday,Unknown,Female,Junior high school,Employee,5-10yr,Lorry (41?100Q),Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Moving Backward,3,Changing lane to the left,Slight Injury,Morning
Wednesday,31-50,Male,Junior high school,Employee,1-2yr,Stationwagen,Governmental,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Other,3,Changing lane to the left,Slight Injury,Afternoon
Wednesday,18-30,Male,Junior high school,Employee,Above 10yr,Automobile,Owner, Industrial areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,3,No distancing,Slight Injury,Evening
Wednesday,18-30,Male,High school,Owner,Above 10yr,Pick up upto 10Q,Owner, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,2,1,Going straight,3,Changing lane to the left,Slight Injury,Evening
Friday,31-50,Male,Junior high school,Employee,1-2yr,Automobile,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Moving Backward,3,Moving Backward,Slight Injury,Afternoon
Friday,Over 51,Male,Junior high school,Employee,1-2yr,Automobile,Owner,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,2,Changing lane to the right,Slight Injury,Morning
Friday,18-30,Male,High school,Employee,2-5yr,Automobile,Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,3,No distancing,Slight Injury,Morning
Thursday,31-50,Male,Elementary school,Employee,5-10yr,Pick up upto 10Q,Owner,Office areas,other,Tangent road with mountainous terrain and,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,3,Other,Slight Injury,Afternoon
Thursday,31-50,Male,Junior high school,Employee,5-10yr,Automobile,Owner,Residential areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,3,Changing lane to the right,Slight Injury,Morning
Friday,31-50,Male,Elementary school,Other,5-10yr,Lorry (41?100Q),Owner,Office areas,Two-way (divided with broken lines road marking),Sharp reverse curve,Y Shape,Earth roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,3,No priority to vehicle,Slight Injury,Morning
Friday,18-30,Male,Junior high school,Employee,2-5yr,Automobile,Owner,Other,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,3,Changing lane to the left,Slight Injury,Morning
Friday,31-50,Male,Junior high school,Employee,Above 10yr,Lorry (41?100Q),Owner, Church areas,other,Tangent road with flat terrain,No junction,Earth roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Going straight,3,Overtaking,Slight Injury,Morning
Friday,Unknown,Female,Junior high school,Employee,Above 10yr,Lorry (41?100Q),Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,3,1,Other,3,No distancing,Slight Injury,Morning
Friday,18-30,Male,Elementary school,Owner,2-5yr,Long lorry,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,3,No priority to vehicle,Slight Injury,Afternoon
Friday,Unknown,Male,Elementary school,Employee,5-10yr,Public (> 45 seats),Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,2,Changing lane to the right,Slight Injury,Afternoon
Friday,Unknown,Male,Junior high school,Owner,1-2yr,Public (> 45 seats),Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,3,Changing lane to the left,Slight Injury,Evening
Saturday,31-50,Male,Junior high school,Employee,5-10yr,Automobile,Owner, Church areas,Undivided Two way,Sharp reverse curve,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,3,Driving carelessly,Slight Injury,Morning
Saturday,31-50,Male,Elementary school,Employee,Above 10yr,Other,Owner,Other,Double carriageway (median),Gentle horizontal curve,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Moving Backward,3,Driving carelessly,Slight Injury,Morning
Saturday,Over 51,Male,Junior high school,Employee,2-5yr,Public (12 seats),Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,2,Moving Backward,Slight Injury,Afternoon
Saturday,18-30,Male,Elementary school,Employee,Above 10yr,Automobile,Owner, Church areas,Unknown,Tangent road with mountainous terrain and,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,3,No distancing,Slight Injury,Afternoon
Sunday,18-30,Male,Junior high school,Employee,Above 10yr,Stationwagen,Owner,School areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,3,No distancing,Slight Injury,Night
Saturday,18-30,Male,Junior high school,Employee,Above 10yr,Automobile,Owner,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads with some distress,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,3,Changing lane to the left,Slight Injury,Night
Sunday,Over 51,Male,Junior high school,Employee,Below 1yr,Automobile,Owner, Church areas,Two-way (divided with broken lines road marking),Steep grade upward with mountainous terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,3,Moving Backward,Slight Injury,Afternoon
Sunday,Unknown,Male,Junior high school,Owner,Above 10yr,Automobile,Governmental,Other,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,2,Changing lane to the right,Slight Injury,Afternoon
Friday,Unknown,Female,Junior high school,Employee,5-10yr,Turbo,Organization,Office areas,Two-way (divided with broken lines road marking),Gentle horizontal curve,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,3,Moving Backward,Slight Injury,Night
Monday,31-50,Male,Junior high school,Employee,5-10yr,Other,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,3,Driving carelessly,Slight Injury,Evening
Saturday,18-30,Male,Junior high school,Owner,Below 1yr,Pick up upto 10Q,Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,3,No priority to pedestrian,Slight Injury,Evening
Tuesday,18-30,Male,Junior high school,Owner,2-5yr,Automobile,Owner,  Market areas,other,Steep grade downward with mountainous terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,1,2,Going straight,3,Moving Backward,Slight Injury,Evening
Tuesday,18-30,Male,Elementary school,Employee,2-5yr,Automobile,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with mountainous terrain and,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining,Collision with roadside objects,1,2,Going straight,3,Driving carelessly,Slight Injury,Evening
Sunday,31-50,Male,Junior high school,Owner,2-5yr,Pick up upto 10Q,Owner,Other,Undivided Two way,Tangent road with mountainous terrain and,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,2,1,Going straight,3,No priority to vehicle,Slight Injury,Evening
Wednesday,31-50,Male,Junior high school,Employee,2-5yr,Lorry (41?100Q),Governmental,Residential areas,Undivided Two way,Tangent road with flat terrain,Unknown,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Other,3,Changing lane to the left,Slight Injury,Evening
Wednesday,Unknown,Male,Junior high school,Employee,1-2yr,Public (12 seats),Owner,Other,Undivided Two way,Tangent road with flat terrain,Unknown,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,3,No priority to vehicle,Slight Injury,Evening
Tuesday,Unknown,Male,Junior high school,Employee,2-5yr,Other,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,1,1,Going straight,3,Driving carelessly,Slight Injury,Afternoon
Wednesday,31-50,Male,Junior high school,Employee,5-10yr,Automobile,Owner,  Recreational areas,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,3,Changing lane to the left,Slight Injury,Afternoon
Thursday,31-50,Male,Elementary school,Employee,Below 1yr,Stationwagen,Organization,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,1,Going straight,3,No distancing,Slight Injury,Morning
Friday,Over 51,Male,Junior high school,Employee,Above 10yr,Public (> 45 seats),Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,3,Driving carelessly,Slight Injury,Night
Friday,18-30,Male,High school,Employee,1-2yr,Automobile,Owner,Residential areas,Undivided Two way,Steep grade downward with mountainous terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,2,1,Moving Backward,3,Changing lane to the left,Slight Injury,Night
Thursday,31-50,Male,Junior high school,Owner,5-10yr,Automobile,Owner, Church areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,1,1,Going straight,3,No distancing,Slight Injury,Afternoon
Friday,Over 51,Male,Junior high school,Employee,Above 10yr,Automobile,Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with mountainous terrain and,Unknown,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,1,Going straight,3,No distancing,Slight Injury,Night
Friday,31-50,Male,Junior high school,Employee,Below 1yr,Lorry (41?100Q),Owner,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,3,Driving to the left,Slight Injury,Morning
Friday,31-50,Male,Elementary school,Employee,2-5yr,Lorry (41?100Q),Owner,  Recreational areas,Two-way (divided with broken lines road marking),Steep grade downward with mountainous terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Moving Backward,3,No distancing,Slight Injury,Morning
Saturday,Over 51,Male,Junior high school,Owner,1-2yr,Public (12 seats),Governmental,Residential areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,4,2,Other,3,No priority to pedestrian,Slight Injury,Afternoon
Saturday,Over 51,Male,Junior high school,Employee,5-10yr,Public (12 seats),Owner,Office areas,One way,Tangent road with flat terrain,Crossing,Gravel roads,Dry,Daylight,Normal,Vehicle with vehicle collision,4,2,Going straight,2,Moving Backward,Slight Injury,Afternoon
Saturday,18-30,Male,High school,Employee,2-5yr,Public (12 seats),Owner, Church areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,3,Changing lane to the left,Slight Injury,Afternoon
Saturday,Over 51,Male,Junior high school,Employee,1-2yr,Public (12 seats),Owner, Church areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Other,2,2,Going straight,3,Changing lane to the right,Slight Injury,Afternoon
Sunday,18-30,Male,Junior high school,Employee,No Licence,Lorry (41?100Q),Owner,Other,other,Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Getting off,3,No priority to vehicle,Slight Injury,Night
Sunday,Unknown,Male,Junior high school,Employee,Above 10yr,Automobile,Owner,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,3,Changing lane to the left,Slight Injury,Night
Monday,18-30,Male,Junior high school,Employee,Above 10yr,Automobile,Owner,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,3,Changing lane to the right,Slight Injury,Evening
Tuesday,31-50,Male,High school,Employee,2-5yr,Automobile,Owner,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Cloudy,Vehicle with vehicle collision,1,1,Going straight,3,Changing lane to the left,Slight Injury,Night
Monday,31-50,Male,High school,Owner,2-5yr,Automobile,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,3,Changing lane to the left,Slight Injury,Afternoon
Tuesday,31-50,Male,Junior high school,Owner,Above 10yr,Stationwagen,Owner,  Recreational areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Earth roads,Dry,Daylight,Normal,Collision with roadside objects,1,1,Moving Backward,3,Overtaking,Slight Injury,Morning
Tuesday,31-50,Male,Elementary school,Employee,2-5yr,Other,Owner,School areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,1,1,Other,2,Driving under the influence of drugs,Serious Injury,Morning
Wednesday,31-50,Male,Unknown,Employee,Above 10yr,Automobile,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,3,Moving Backward,Slight Injury,Night
Wednesday,31-50,Male,Elementary school,Employee,5-10yr,Lorry (41?100Q),Owner,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,3,No distancing,Slight Injury,Night
Wednesday,Unknown,Female,Junior high school,Employee,Below 1yr,Lorry (41?100Q),Owner,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Earth roads,Dry,Daylight,Normal,Collision with roadside objects,1,1,Going straight,3,No priority to vehicle,Slight Injury,Afternoon
Wednesday,Unknown,Male,Junior high school,Employee,5-10yr,Automobile,Owner,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,3,No distancing,Slight Injury,Afternoon
Thursday,31-50,Male,Junior high school,Owner,5-10yr,Public (13?45 seats),Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,3,Moving Backward,Serious Injury,Evening
